epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.25745,2.90298,10.5245,1.8852,0.86854,0.58083,0.73242,0.38643,1.60731,4.50932,1.20968,0.00028,0.00028,0.00028
2,10.3818,1.54391,1.92535,1.21444,0.98887,0.97632,0.9897,0.54661,1.49575,2.30122,1.13906,0.00056086,0.00056086,0.00056086
3,13.4962,1.49844,1.25108,1.2193,0.81872,0.61538,0.71992,0.39339,1.68414,2.32332,1.19025,0.00082192,0.00082192,0.00082192
4,16.5143,1.494,0.96414,1.2295,0.93753,0.82454,0.89845,0.47964,1.64903,1.74538,1.22648,0.00106318,0.00106318,0.00106318
5,19.5303,1.52129,0.92687,1.26098,0.9453,0.91209,0.97099,0.49718,1.63016,1.16861,1.29904,0.00128464,0.00128464,0.00128464
6,22.4801,1.53379,0.93379,1.22134,0.82227,0.85714,0.91453,0.49916,1.57155,21.0439,1.26666,0.0014863,0.0014863,0.0014863
7,25.491,1.48153,0.81955,1.22754,0.89675,0.78022,0.87808,0.45613,1.6773,3.03911,1.52494,0.001604,0.001604,0.001604
8,28.5291,1.4941,0.78077,1.26941,0.74685,0.73626,0.78338,0.45327,1.57733,5.40515,1.44978,0.001538,0.001538,0.001538
9,31.5607,1.44149,0.76696,1.2333,0.65384,0.58242,0.68247,0.36565,1.5655,6.72551,1.38491,0.001472,0.001472,0.001472
10,34.6404,1.38419,0.75184,1.23106,0.21603,0.58242,0.17577,0.07328,1.99315,15.5267,1.8096,0.001406,0.001406,0.001406
11,37.5658,1.38377,0.70141,1.23288,1,0.97183,0.99306,0.62249,1.35903,0.86013,1.36409,0.00134,0.00134,0.00134
12,40.5735,1.35654,0.66937,1.21774,0.99753,0.98901,0.99155,0.60235,1.4404,0.61499,1.36924,0.001274,0.001274,0.001274
13,43.5451,1.3887,0.64931,1.25094,0.99907,0.98901,0.99468,0.62484,1.32361,0.60343,1.33716,0.001208,0.001208,0.001208
14,46.5265,1.35352,0.63841,1.23269,0.99639,0.94505,0.98301,0.57442,1.43301,0.69906,1.40021,0.001142,0.001142,0.001142
15,49.4673,1.38827,0.62738,1.23603,0.9723,0.95604,0.97317,0.54104,1.5473,0.76469,1.43283,0.001076,0.001076,0.001076
16,52.4071,1.33725,0.61288,1.21844,0.999,0.98901,0.99392,0.62263,1.3163,0.55127,1.289,0.00101,0.00101,0.00101
17,55.3416,1.35078,0.59671,1.2398,0.99907,0.98901,0.99006,0.62305,1.34027,0.56863,1.2979,0.000944,0.000944,0.000944
18,58.2794,1.30796,0.58039,1.1984,0.99932,0.98901,0.99429,0.55177,1.5756,0.59788,1.50925,0.000878,0.000878,0.000878
19,61.2613,1.34852,0.58644,1.23627,0.94084,0.96703,0.95748,0.55889,1.46621,0.68671,1.39841,0.000812,0.000812,0.000812
20,64.235,1.33956,0.59676,1.21508,0.98882,0.97206,0.99415,0.63123,1.30218,0.55351,1.277,0.000746,0.000746,0.000746
21,72.7677,1.26744,0.5392,1.20319,0.99916,0.98901,0.99448,0.65176,1.30191,0.53864,1.27009,0.00068,0.00068,0.00068
22,75.7662,1.25794,0.53617,1.21219,0.99904,0.98901,0.98719,0.6366,1.25757,0.53457,1.24265,0.000614,0.000614,0.000614
23,78.7244,1.25325,0.52785,1.22255,0.99818,0.98901,0.99468,0.64101,1.24149,0.52225,1.24144,0.000548,0.000548,0.000548
24,81.6657,1.24808,0.51402,1.22342,0.99878,1,0.995,0.65175,1.23839,0.53607,1.24484,0.000482,0.000482,0.000482
25,84.609,1.2335,0.50921,1.20948,1,0.99886,0.995,0.64495,1.28992,0.53924,1.28287,0.000416,0.000416,0.000416
26,87.5373,1.22563,0.49986,1.20991,0.99624,0.98901,0.99489,0.65571,1.28798,0.53382,1.28336,0.00035,0.00035,0.00035
27,90.5495,1.22581,0.49356,1.22482,0.99701,0.98901,0.99478,0.64758,1.29044,0.50986,1.28143,0.000284,0.000284,0.000284
28,93.4553,1.2228,0.49436,1.17731,0.99646,0.98901,0.99468,0.65943,1.28594,0.52373,1.26662,0.000218,0.000218,0.000218
29,96.4086,1.19008,0.48639,1.18875,0.99336,0.98901,0.99468,0.65119,1.29767,0.51541,1.27768,0.000152,0.000152,0.000152
30,99.3553,1.19577,0.47482,1.15915,0.99594,0.98901,0.99468,0.66511,1.28389,0.50569,1.26798,8.6e-05,8.6e-05,8.6e-05
