epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.28286,2.89249,10.5028,1.88311,0.99442,0.9011,0.92765,0.51559,1.53621,3.6483,1.13267,0.00028,0.00028,0.00028
2,10.3902,1.5475,1.94927,1.21165,0.99669,0.98901,0.98969,0.56121,1.50663,2.25781,1.14287,0.00056086,0.00056086,0.00056086
3,13.4197,1.46522,1.23315,1.20538,0.97697,0.93221,0.95627,0.48116,1.6836,2.24405,1.29898,0.00082192,0.00082192,0.00082192
4,16.4248,1.53351,0.97909,1.23228,0.99542,0.98901,0.98865,0.54714,1.47546,1.57905,1.14147,0.00106318,0.00106318,0.00106318
5,19.3794,1.54801,0.94757,1.26765,0.95052,0.85714,0.94863,0.53968,1.49068,1.15578,1.24869,0.00128464,0.00128464,0.00128464
6,22.3404,1.4928,0.86587,1.23033,0.96234,0.97802,0.97778,0.55167,1.50289,0.86625,1.31532,0.0014863,0.0014863,0.0014863
7,25.2753,1.45924,0.80298,1.23384,0.98744,0.73626,0.77563,0.44365,1.62064,1.26532,1.5175,0.001604,0.001604,0.001604
8,28.2025,1.47237,0.77605,1.24762,0.97616,0.90002,0.93643,0.54291,1.41894,1.08656,1.22504,0.001538,0.001538,0.001538
9,31.1355,1.42244,0.74423,1.21732,0.71914,0.84615,0.85477,0.49729,1.37098,1.19077,1.254,0.001472,0.001472,0.001472
10,34.1114,1.41226,0.6995,1.22331,0.9581,0.98901,0.98535,0.57669,1.41809,0.7491,1.31884,0.001406,0.001406,0.001406
11,37.0765,1.38687,0.68762,1.21472,0.98589,0.98901,0.98814,0.61006,1.36038,0.70632,1.24912,0.00134,0.00134,0.00134
12,40.0938,1.36897,0.65749,1.18853,0.96538,0.98901,0.98407,0.60533,1.32747,0.67268,1.20073,0.001274,0.001274,0.001274
13,43.0049,1.38989,0.67058,1.19832,0.97815,0.98373,0.99045,0.58314,1.43687,0.68377,1.29377,0.001208,0.001208,0.001208
14,45.9231,1.35347,0.64109,1.19338,0.9674,0.97831,0.99137,0.58962,1.40344,0.69047,1.2884,0.001142,0.001142,0.001142
15,48.8639,1.3836,0.65363,1.20419,0.98892,0.98092,0.99037,0.57429,1.47219,0.85381,1.36273,0.001076,0.001076,0.001076
16,51.8199,1.33464,0.62511,1.18724,0.99872,0.98901,0.99489,0.64571,1.29535,0.58849,1.22198,0.00101,0.00101,0.00101
17,54.817,1.3643,0.63457,1.20388,0.99697,0.98901,0.99478,0.63722,1.29856,0.59223,1.21737,0.000944,0.000944,0.000944
18,57.7619,1.27581,0.56023,1.15763,0.99922,0.98901,0.99401,0.60721,1.42044,0.55492,1.29779,0.000878,0.000878,0.000878
19,60.7235,1.34135,0.58206,1.18528,1,0.99822,0.995,0.61103,1.30659,0.54177,1.25477,0.000812,0.000812,0.000812
20,63.6535,1.33982,0.60109,1.18251,0.99726,0.98901,0.99489,0.63207,1.24711,0.52822,1.1857,0.000746,0.000746,0.000746
21,72.103,1.26213,0.54728,1.16221,0.99906,0.98901,0.99478,0.61098,1.30913,0.53264,1.22738,0.00068,0.00068,0.00068
22,75.0655,1.24367,0.52854,1.16762,0.99909,0.98901,0.99468,0.63706,1.27469,0.53546,1.20905,0.000614,0.000614,0.000614
23,77.9969,1.25001,0.52453,1.17839,0.99233,0.98901,0.99438,0.64576,1.29428,0.56731,1.23529,0.000548,0.000548,0.000548
24,80.9378,1.21235,0.51032,1.15733,0.9782,0.98632,0.99416,0.6365,1.30783,0.54791,1.23574,0.000482,0.000482,0.000482
25,83.8435,1.22614,0.52222,1.16754,0.96799,0.99711,0.99392,0.62458,1.31683,0.5493,1.24576,0.000416,0.000416,0.000416
26,86.7699,1.20602,0.51592,1.1577,0.98891,0.97961,0.99457,0.62787,1.31664,0.53822,1.23036,0.00035,0.00035,0.00035
27,89.7067,1.23716,0.5074,1.18008,0.9947,0.97802,0.99457,0.62947,1.35443,0.53225,1.25777,0.000284,0.000284,0.000284
28,92.6355,1.21624,0.48965,1.13278,1,0.98668,0.99478,0.65734,1.27124,0.50091,1.2076,0.000218,0.000218,0.000218
29,95.5528,1.18759,0.48562,1.13988,1,0.98608,0.99489,0.65103,1.29328,0.50191,1.22661,0.000152,0.000152,0.000152
30,98.4919,1.18423,0.46985,1.12465,1,0.98602,0.99489,0.66114,1.29337,0.49925,1.23057,8.6e-05,8.6e-05,8.6e-05
